match_id,team,shots_on_goal,shots_off_goal,total_shots,blocked_shots,shots_inside_box,shots_outside_box,fouls,corner_kicks,offsides,ball_possession_pct,yellow_cards,red_cards,goalkeeper_saves,total_passes,passes_accurate,passes_pct,expected_goals,goals_prevented,espn_top_xg,espn_keeper_xg_conceded,espn_top_duels_won,espn_top_big_chances_created,espn_top_big_chances_missed,fotmob_expected_goals,fotmob_expected_goals_conceded,fotmob_expected_goals_non_penalty,fotmob_expected_goals_on_target,fotmob_big_chances,fotmob_big_chances_conceded,fotmob_big_chances_missed,fotmob_total_shots,fotmob_shots_on_target,fotmob_shots_inside_box,fotmob_touches_opp_box,fotmob_detail_coverage,fotmob_goal_xg_delta,fotmob_xgot_xg_delta,fotmob_xg_per_shot,fotmob_big_chance_rate,fotmob_big_chance_conversion,fotmob_chance_waste_rate,fotmob_underlying_threat,fotmob_finishing_signal,fotmob_waste_signal,fotmob_low_possession_punch,fotmob_sterile_control_risk,fotmob_defensive_resistance,fotmob_chance_control_signal,fotmob_unrewarded_pressure,fotmob_clinical_chance_signal,source,notes
537356,Ivory Coast,3,,7,1,,,6,6,1,63.3,1,0,2,624,558,90,,,0.37,0.50,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESPN event 760473,ESPN summary API used to fill blank fields.
537357,Japan,3,,10,1,,,7,4,1,40.2,0,0,4,341,286,80,,,0.08,0.79,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,theScore event 93084; ESPN event 760425,Imported from theScore Team Comparison. theScore labels shots as shots on goal; total shots are left blank unless another source provides them. ESPN summary API used to fill blank fields.
537357,Netherlands,6,,10,1,,,7,5,0,59.8,3,0,1,524,463,90,,,0.20,0.59,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,theScore event 93084; ESPN event 760425,Imported from theScore Team Comparison. theScore labels shots as shots on goal; total shots are left blank unless another source provides them. ESPN summary API used to fill blank fields.
537358,Sweden,7,,13,3,,,10,4,6,48.7,0,0,1,356,278,80,,,0.63,0.28,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,theScore event 93099; ESPN event 760424,Imported from theScore Team Comparison. theScore labels shots as shots on goal; total shots are left blank unless another source provides them. ESPN summary API used to fill blank fields.
537358,Tunisia,2,,6,1,,,8,2,3,51.3,1,0,1,371,292,80,,,0.03,1.33,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,theScore event 93099; ESPN event 760424,Imported from theScore Team Comparison. theScore labels shots as shots on goal; total shots are left blank unless another source provides them. ESPN summary API used to fill blank fields.
537359,Netherlands,7,,10,1,,,9,2,3,50.9,0,0,7,449,398,90,,,1.16,1.01,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESPN event 760447,ESPN summary API used to fill blank fields.
537359,Sweden,8,,16,3,,,12,5,3,49.1,3,0,2,425,361,80,,,0.26,2.61,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESPN event 760447,ESPN summary API used to fill blank fields.
537360,Japan,5,,11,3,,,15,5,1,62.1,0,0,0,583,521,90,,,0.54,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESPN event 760449,ESPN summary API used to fill blank fields.
537360,Tunisia,0,,2,1,,,8,3,1,37.9,0,0,1,354,284,80,,,0.01,2.13,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESPN event 760449,ESPN summary API used to fill blank fields.
537361,Netherlands,7,,20,5,,,10,6,1,71.4,0,0,3,647,602,90,,,0.38,0.62,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESPN event 760472,ESPN summary API used to fill blank fields.
537361,Tunisia,4,,10,1,,,11,4,2,28.6,0,0,4,258,199,80,,,0.14,1.85,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESPN event 760472,ESPN summary API used to fill blank fields.
537362,Japan,3,,8,2,,,20,2,3,52.3,1,0,4,445,378,80,,,0.68,0.64,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESPN event 760471,ESPN summary API used to fill blank fields.
537362,Sweden,5,,11,3,,,11,8,2,47.7,2,0,2,395,312,80,,,0.10,1.21,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESPN event 760471,ESPN summary API used to fill blank fields.
537363,Belgium,3,,15,5,,,15,2,1,53.6,2,0,2,455,391,90,,,0.27,1.08,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,theScore event 93079; ESPN event 760426,Imported from theScore Team Comparison. theScore labels shots as shots on goal; total shots are left blank unless another source provides them. ESPN summary API used to fill blank fields.
537363,Egypt,3,,14,7,,,15,7,0,46.4,2,0,3,398,323,80,,,0.49,1.35,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,theScore event 93079; ESPN event 760426,Imported from theScore Team Comparison. theScore labels shots as shots on goal; total shots are left blank unless another source provides them. ESPN summary API used to fill blank fields.
537364,Iran,4,,17,5,,,10,4,0,48.5,1,0,6,409,314,80,,,0.20,1.24,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,theScore event 93078; ESPN event 760427,Imported from theScore Team Comparison. theScore labels shots as shots on goal; total shots are left blank unless another source provides them. ESPN summary API used to fill blank fields.
537364,New Zealand,8,,14,2,,,8,1,2,51.5,0,0,2,446,376,80,,,0.22,1.50,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,theScore event 93078; ESPN event 760427,Imported from theScore Team Comparison. theScore labels shots as shots on goal; total shots are left blank unless another source provides them. ESPN summary API used to fill blank fields.
537365,Belgium,7,,23,6,,,7,4,3,70.1,1,1,3,621,533,90,,,0.89,0.62,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESPN event 760451,ESPN summary API used to fill blank fields.
537365,Iran,3,,7,1,,,9,2,4,29.9,1,0,7,270,198,70,,,0.14,1.79,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESPN event 760451,ESPN summary API used to fill blank fields.
537366,Egypt,7,,19,6,,,8,4,0,55.6,1,0,4,526,460,90,,,0.56,1.24,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESPN event 760452,ESPN summary API used to fill blank fields.
537366,New Zealand,5,,11,3,,,14,4,3,44.4,2,0,4,421,337,80,,,0.09,1.87,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESPN event 760452,ESPN summary API used to fill blank fields.
537367,Belgium,10,,35,12,,,7,8,1,54.5,0,0,1,525,462,90,,,1.23,0.24,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESPN event 760477,ESPN summary API used to fill blank fields.
537367,New Zealand,2,,6,1,,,10,5,1,45.5,2,0,5,436,369,80,,,0.15,3.65,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESPN event 760477,ESPN summary API used to fill blank fields.
537368,Egypt,3,,15,6,,,11,8,0,61.4,3,0,2,589,513,90,,,0.26,1.97,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESPN event 760476,ESPN summary API used to fill blank fields.
537368,Iran,4,,13,3,,,16,2,3,38.6,4,0,2,367,281,80,,,0.23,0.84,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESPN event 760476,ESPN summary API used to fill blank fields.
537369,Cape Verde Islands,1,,6,2,,,1,1,3,25.7,1,0,7,278,205,70,0.29,,0.02,2.10,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,theScore/ESPN/SB Nation 2026-06-15; ESPN event 760428,"Spain 0-0 Cape Verde: team comparison reports 26% possession, 1 shot on goal, 1 corner, 1 foul; ESPN reports 6 shot attempts; Vozinha made seven saves; SB Nation reports 0.29 xG. ESPN summary API used to fill blank fields."
537369,Spain,7,,27,8,,,10,11,2,74.3,1,0,1,800,734,90,2.29,,0.50,0.20,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,theScore/ESPN/SB Nation 2026-06-15; ESPN event 760428,"Spain 0-0 Cape Verde: team comparison reports 74% possession, 7 shots on goal, 11 corners, 10 fouls; ESPN reports 27 shot attempts; SB Nation reports 2.29 xG. ESPN summary API used to fill blank fields."
537370,Saudi Arabia,3,,7,1,,,11,4,0,33.2,1,0,9,322,236,70,0.99,,0.11,1.72,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,theScore/ESPN/Opta Analyst 2026-06-15; ESPN event 760429,"Saudi Arabia 1-1 Uruguay: ESPN reports 7 shots and 3 on goal; theScore reports 33% possession, 4 corners, 11 fouls, 1 yellow; Opta Analyst reports 0.99 xG. ESPN summary API used to fill blank fields."
